plotid,sampleid,lon,lat,email,flagged,collection_time,analysis_duration,imagery_title,imagery_attributions,sample_geom,pl_scene,Type of vegetation:,Confidence:
0,0,-120.48488084276656,34.497109887213966,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 18:50,6.4 secs,NAIP 2020,,POINT(-120.48488084276656 34.497109887213966),ca_m_3412037_nw_10_060_20200607,non-iceplant,High confidence
1,1,-120.46546019620821,34.452987373002266,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:22,12.9 secs,NAIP 2020,,POINT(-120.46546019620821 34.452987373002266),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
2,2,-120.47043776467252,34.45032651999888,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:22,7.6 secs,NAIP 2020,,POINT(-120.47043776467252 34.45032651999888),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
3,3,-120.48955139556801,34.499964597334944,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:22,39.1 secs,NAIP 2020,,POINT(-120.48955139556801 34.499964597334944),ca_m_3412037_nw_10_060_20200607,non-iceplant,Low confidence
4,4,-120.46820381055707,34.46462496333951,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:23,7.0 secs,NAIP 2020,,POINT(-120.46820381055707 34.46462496333951),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
5,5,-120.4544705564043,34.45127142164091,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:23,5.9 secs,NAIP 2020,,POINT(-120.4544705564043 34.45127142164091),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
6,6,-120.44774642928563,34.44929749222045,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:23,6.4 secs,NAIP 2020,,POINT(-120.44774642928563 34.44929749222045),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
7,7,-120.4697705362953,34.45988667218702,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:23,5.3 secs,NAIP 2020,,POINT(-120.4697705362953 34.45988667218702),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
8,8,-120.465339958536,34.46992049119658,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:23,7.6 secs,NAIP 2020,,POINT(-120.465339958536 34.46992049119658),ca_m_3412037_nw_10_060_20200607,non-iceplant,High confidence
9,9,-120.48521736993403,34.496781459448236,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:23,11.4 secs,NAIP 2020,,POINT(-120.48521736993403 34.496781459448236),ca_m_3412037_nw_10_060_20200607,non-iceplant,Low confidence
10,10,-120.4532005768772,34.446003631731664,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:23,4.5 secs,NAIP 2020,,POINT(-120.4532005768772 34.446003631731664),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
11,11,-120.44848197341162,34.44937235397425,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:24,61.5 secs,NAIP 2020,,POINT(-120.44848197341162 34.44937235397425),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
12,12,-120.47167760439824,34.45749750492939,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:24,5.3 secs,NAIP 2020,,POINT(-120.47167760439824 34.45749750492939),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
13,13,-120.48866722746574,34.48784102879325,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:25,14.8 secs,NAIP 2020,,POINT(-120.48866722746574 34.48784102879325),ca_m_3412037_nw_10_060_20200607,iceplant,Low confidence
14,14,-120.46552353830579,34.46147542998832,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:25,7.4 secs,NAIP 2020,,POINT(-120.46552353830579 34.46147542998832),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
15,15,-120.47094879263702,34.45589757631976,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:25,6.1 secs,NAIP 2020,,POINT(-120.47094879263702 34.45589757631976),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
16,16,-120.49953931643918,34.49411682859048,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:25,11.0 secs,NAIP 2020,,POINT(-120.49953931643918 34.49411682859048),ca_m_3412037_nw_10_060_20200607,non-iceplant,High confidence
17,17,-120.46298989686471,34.453271460229736,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:25,5.4 secs,NAIP 2020,,POINT(-120.46298989686471 34.453271460229736),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
18,18,-120.47140597637105,34.473210485095755,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:26,16.2 secs,NAIP 2020,,POINT(-120.47140597637105 34.473210485095755),ca_m_3412037_nw_10_060_20200607,non-iceplant,High confidence
19,19,-120.44669754571657,34.45565277734475,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:26,11.6 secs,NAIP 2020,,POINT(-120.44669754571657 34.45565277734475),ca_m_3412037_nw_10_060_20200607,non-iceplant,High confidence
20,20,-120.43811127746277,34.45435336788937,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:26,11.0 secs,NAIP 2020,,POINT(-120.43811127746277 34.45435336788937),ca_m_3412037_nw_10_060_20200607,non-iceplant,High confidence
21,21,-120.44442562863908,34.45285210010148,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:26,4.5 secs,NAIP 2020,,POINT(-120.44442562863908 34.45285210010148),ca_m_3412037_nw_10_060_20200607,non-iceplant,High confidence
22,22,-120.46860545549285,34.459543404019705,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:26,3.9 secs,NAIP 2020,,POINT(-120.46860545549285 34.459543404019705),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
23,23,-120.47122442015981,34.46083090006181,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:26,4.6 secs,NAIP 2020,,POINT(-120.47122442015981 34.46083090006181),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
24,24,-120.46077199800904,34.451689225443054,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:26,4.1 secs,NAIP 2020,,POINT(-120.46077199800904 34.451689225443054),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
25,25,-120.46998211314155,34.467804443843214,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:27,30.6 secs,NAIP 2018,,POINT(-120.46998211314155 34.467804443843214),ca_m_3412037_nw_10_060_20200607,non-iceplant,High confidence
26,26,-120.46931877223554,34.458627831481905,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:27,5.0 secs,NAIP 2018,,POINT(-120.46931877223554 34.458627831481905),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
27,27,-120.45355911832016,34.45548226655554,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:27,13.0 secs,NAIP 2020,,POINT(-120.45355911832016 34.45548226655554),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
28,28,-120.47338589766859,34.47491202351307,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:27,14.1 secs,NAIP 2018,,POINT(-120.47338589766859 34.47491202351307),ca_m_3412037_nw_10_060_20200607,non-iceplant,High confidence
29,29,-120.46285379874399,34.451727065140524,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:28,10.1 secs,NAIP 2020,,POINT(-120.46285379874399 34.451727065140524),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
30,30,-120.46726440205059,34.462214706585755,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:28,3.8 secs,NAIP 2020,,POINT(-120.46726440205059 34.462214706585755),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
31,31,-120.46121173896877,34.45247726153887,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:28,3.6 secs,NAIP 2020,,POINT(-120.46121173896877 34.45247726153887),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
32,32,-120.45287712165455,34.454932558837896,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:28,11.0 secs,NAIP 2018,,POINT(-120.45287712165455 34.454932558837896),ca_m_3412037_nw_10_060_20200607,non-iceplant,High confidence
33,33,-120.50058202231146,34.49420308527623,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:28,4.9 secs,NAIP 2018,,POINT(-120.50058202231146 34.49420308527623),ca_m_3412037_nw_10_060_20200607,non-iceplant,High confidence
34,34,-120.49630474083406,34.502223606458045,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:28,12.2 secs,NAIP 2020,,POINT(-120.49630474083406 34.502223606458045),ca_m_3412037_nw_10_060_20200607,non-iceplant,High confidence
35,35,-120.46655187646304,34.46245415548838,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:28,4.0 secs,NAIP 2020,,POINT(-120.46655187646304 34.46245415548838),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
36,36,-120.48119475314518,34.47478662770477,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:28,3.7 secs,NAIP 2020,,POINT(-120.48119475314518 34.47478662770477),ca_m_3412037_nw_10_060_20200607,non-iceplant,High confidence
37,37,-120.4679092733889,34.46551134546329,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:28,4.3 secs,NAIP 2020,,POINT(-120.4679092733889 34.46551134546329),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
38,38,-120.47090428585564,34.458671483030386,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:28,3.8 secs,NAIP 2020,,POINT(-120.47090428585564 34.458671483030386),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
39,39,-120.45525524212434,34.443487980453206,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:29,3.7 secs,NAIP 2020,,POINT(-120.45525524212434 34.443487980453206),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
40,40,-120.46593008684064,34.45558803901098,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:29,3.9 secs,NAIP 2020,,POINT(-120.46593008684064 34.45558803901098),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
41,41,-120.46778161727143,34.462171338617374,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:29,6.3 secs,NAIP 2020,,POINT(-120.46778161727143 34.462171338617374),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
42,42,-120.47042461517704,34.45812064996484,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:29,3.7 secs,NAIP 2020,,POINT(-120.47042461517704 34.45812064996484),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
43,43,-120.46568341537848,34.45208328855048,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:29,5.7 secs,NAIP 2020,,POINT(-120.46568341537848 34.45208328855048),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
44,44,-120.46336092562305,34.452662536639764,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:29,3.5 secs,NAIP 2020,,POINT(-120.46336092562305 34.452662536639764),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
45,45,-120.44609841315848,34.450669392992914,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:29,6.3 secs,NAIP 2020,,POINT(-120.44609841315848 34.450669392992914),ca_m_3412037_nw_10_060_20200607,non-iceplant,High confidence
46,46,-120.48744101005876,34.4895196489561,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:29,9.0 secs,NAIP 2020,,POINT(-120.48744101005876 34.4895196489561),ca_m_3412037_nw_10_060_20200607,non-iceplant,High confidence
47,47,-120.46944750577765,34.45760819354997,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:29,3.8 secs,NAIP 2020,,POINT(-120.46944750577765 34.45760819354997),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
48,48,-120.47054770168083,34.44906308385422,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:29,4.6 secs,NAIP 2020,,POINT(-120.47054770168083 34.44906308385422),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
49,49,-120.46788398466539,34.47045465609215,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:30,31.5 secs,Mapbox Satellite,,POINT(-120.46788398466539 34.47045465609215),ca_m_3412037_nw_10_060_20200607,non-iceplant,High confidence
50,50,-120.47039689492611,34.46336682379559,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:30,5.0 secs,NAIP 2020,,POINT(-120.47039689492611 34.46336682379559),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
