itemid,processed,reason,pre_times,class_times,post_times,veg_pixels,processed_pix
ca_m_3412037_nw_10_060_20200607,Y,processed,26.94399619102478,338.76246881484985,7.413462162017822,9043156,41757194
ca_m_3412037_ne_10_060_20200607,Y,processed,13.297072649002075,29.01406955718994,2.893450975418091,2848860,26631933
ca_m_3412029_sw_10_060_20200607,Y,processed,7.421107292175293,14.170933723449707,1.0612435340881348,1302712,6173609
ca_m_3412004_sw_10_060_20200607,N,no data in intersection,0.0,0.0,0.0,0,0
ca_m_3412003_se_10_060_20200607,N,no vegeatation in intersection,0.0,0.0,0.0,0,1089730
ca_m_3412003_ne_10_060_20200607,Y,processed,9.782672643661499,9.42888593673706,1.8284180164337158,1162390,5936870
ca_m_3412038_nw_10_060_20200523,Y,processed,13.704232931137085,20.073341846466064,3.1715385913848877,3732275,26846793
ca_m_3412040_nw_10_060_20200522,Y,processed,13.480002403259277,17.552762985229492,3.014915704727173,4779025,27013033
ca_m_3412040_ne_10_060_20200522,Y,processed,13.033843517303467,20.806232690811157,2.9236505031585693,6703742,27596660
ca_m_3412039_nw_10_060_20200522,Y,processed,11.768872737884521,17.57307767868042,2.518695592880249,6191597,26013658
ca_m_3412039_ne_10_060_20200522,Y,processed,12.240095376968384,17.103758811950684,2.6499459743499756,6133745,26192849
ca_m_3412038_ne_10_060_20200522,Y,processed,12.616251707077026,15.304652690887451,2.765685558319092,4531831,26931013
ca_m_3411933_nw_11_060_20200522,Y,processed,16.896092653274536,30.252081394195557,4.1848838329315186,11550319,26013450
ca_m_3411933_ne_11_060_20200522,Y,processed,7.00525426864624,14.465696096420288,0.7511296272277832,4583055,6951195
ca_m_3411945_nw_11_060_20200521,Y,processed,5.550447225570679,4.330237865447998,0.2810177803039551,341357,2903557
ca_m_3411937_sw_11_060_20200521,Y,processed,8.865989923477173,18.992531776428223,1.547013521194458,6343629,13630354
ca_m_3411936_sw_11_060_20200521,Y,processed,14.24046802520752,35.4091260433197,3.1613452434539795,13002061,27200569
ca_m_3411936_se_11_060_20200521,Y,processed,19.770959854125977,33.22981643676758,5.286309003829956,10291025,30697635
ca_m_3411935_sw_11_060_20200521,Y,processed,16.101277828216553,32.01703500747681,4.250053882598877,9887253,30836272
ca_m_3411935_se_11_060_20200521,Y,processed,15.032772779464722,22.027223587036133,3.6604321002960205,8807855,27251366
ca_m_3411934_sw_11_060_20200521,Y,processed,14.547308444976807,30.47148036956787,3.6065449714660645,9817971,28819110
ca_m_3411934_se_11_060_20200521,Y,processed,15.920172691345215,35.847878217697144,3.8273863792419434,13958602,27329590
ca_m_3411933_sw_11_060_20200521,Y,processed,6.6599626541137695,14.441490888595581,0.8155491352081299,4069127,8113911
ca_m_3411933_se_11_060_20200521,Y,processed,18.064082622528076,35.55217409133911,4.481622219085693,13307687,27517629
